"","gene","distance","Z","FC","p.value","p.adj"
"1021","Syt2",4.911936258907e-18,-1.19538322124671,2.7498122267751e-19,0.9999999995816,0.999999999998216
"285","Chrm1",4.89712002215288e-18,-1.19582574062939,2.73324832183817e-19,0.999999999582862,0.999999999998216
"111","Ccdc142",4.88695512119455e-18,-1.19613010183581,2.72191334792992e-19,0.999999999583728,0.999999999998216
"1179","Gm4419",4.88446946055812e-18,-1.196204623382,2.71914514889451e-19,0.99999999958394,0.999999999998216
"70","Gm27021",4.88140618412727e-18,-1.1962965136364,2.71573561530692e-19,0.999999999584201,0.999999999998216
"1800","BC051628",4.87396431623052e-18,-1.19651998720318,2.70746146666759e-19,0.999999999584835,0.999999999998216
"421","9330102E08Rik",4.8592988565789e-18,-1.19696136615283,2.69119280829624e-19,0.999999999586084,0.999999999998216
"262","Ccdc120",4.85033884332516e-18,-1.19723167797399,2.68127743039228e-19,0.999999999586847,0.999999999998216
"983","Lrp2bp",4.84397562201538e-18,-1.1974239471496,2.67424684115174e-19,0.999999999587389,0.999999999998216
"1396","Sgcd",4.83986162967985e-18,-1.19754838689645,2.66970629019358e-19,0.999999999587739,0.999999999998216
"1139","Gm38250",4.83614414217234e-18,-1.19766092292718,2.66560667371298e-19,0.999999999588056,0.999999999998216
"787","Shc3",4.83547096306243e-18,-1.19768131057097,2.66486463386259e-19,0.999999999588113,0.999999999998216
"1542","Il13ra2",4.82844063403399e-18,-1.19789439579657,2.65712133194036e-19,0.999999999588712,0.999999999998216
"1917","Rimkla",4.82272020947727e-18,-1.19806800441626,2.65082909005053e-19,0.999999999589199,0.999999999998216
"772","BC021785",4.82127073277267e-18,-1.19811202668815,2.64923590718281e-19,0.999999999589323,0.999999999998216
"160","Six6",4.82094147716835e-18,-1.19812202837771,2.64887407478089e-19,0.999999999589351,0.999999999998216
"2082","Olfr920",4.8136022635403e-18,-1.1983451442651,2.64081512822276e-19,0.999999999589976,0.999999999998216
"1132","Rnase12",4.8050970835088e-18,-1.19860412609296,2.6314912314895e-19,0.999999999590701,0.999999999998216
"1686","Gm26684",4.79500110782417e-18,-1.19891213481624,2.62044481115412e-19,0.999999999591561,0.999999999998216
"2289","Gm17035",4.78778081258776e-18,-1.19913280450515,2.61255904026961e-19,0.999999999592176,0.999999999998216
"1714","Cyp2ab1",4.78683118113644e-18,-1.19916185195213,2.61152276802299e-19,0.999999999592257,0.999999999998216
"1393","Gm43118",4.78381603325422e-18,-1.19925411735085,2.60823389187403e-19,0.999999999592513,0.999999999998216
"312","1700028K03Rik",4.7688136699787e-18,-1.19971405308671,2.59190035585909e-19,0.999999999593791,0.999999999998216
"789","Gm4262",4.76378600495525e-18,-1.19986850820852,2.58643805919823e-19,0.99999999959422,0.999999999998216
"2094","Peak1os",4.7547768161445e-18,-1.20014568238263,2.57666445689694e-19,0.999999999594987,0.999999999998216
"71","Gm42421",4.74963364929414e-18,-1.20030414788885,2.57109319735076e-19,0.999999999595425,0.999999999998216
"373","Gm15319",4.7309760542893e-18,-1.20088042842789,2.55093324396783e-19,0.999999999597014,0.999999999998216
"1957","Map6d1",4.7240179957519e-18,-1.20109591709726,2.54343521814446e-19,0.999999999597607,0.999999999998216
