"","gene","distance","Z","FC","p.value","p.adj"
"625","Zfp709",2.30164356060001e-13,-0.398059731800762,1.14615133422258e-06,0.999145797259005,0.999999999237769
"2531","Ezh2",2.30096603187449e-13,-0.398110177761404,1.14547665446723e-06,0.99914604870831,0.999999999237769
"1949","Abhd8",2.30087117340725e-13,-0.398117241638715,1.14538221072626e-06,0.999146083912862,0.999999999237769
"2733","Smad3",2.29816135499267e-13,-0.398319150610695,1.14268588411133e-06,0.999147089600048,0.999999999237769
"236","Cbx6",2.29155815028053e-13,-0.398812092944378,1.13612886070372e-06,0.999149540228601,0.999999999237769
"1627","Srfbp1",2.29017594353409e-13,-0.398915446026474,1.13475870880531e-06,0.999150053203054,0.999999999237769
"6","Plac9",2.27618989209869e-13,-0.399964542401042,1.12094113952366e-06,0.999155243806509,0.999999999237769
"2725","Zfp414",2.27521024688247e-13,-0.400038252172041,1.11997646753484e-06,0.999155607379451,0.999999999237769
"2754","Cc2d1b",2.26944159896077e-13,-0.400472897370372,1.11430441193068e-06,0.999157748281343,0.999999999237769
"2815","Nmnat1",2.26325466710875e-13,-0.400940211830606,1.10823707967601e-06,0.999160044419768,0.999999999237769
"2651","Brd9",2.2550547964191e-13,-0.401561418398581,1.10022124402713e-06,0.99916308761447,0.999999999237769
"1296","Sntb2",2.24503166918554e-13,-0.402323635495895,1.09046258981751e-06,0.999166807469207,0.999999999237769
"953","Unk",2.23901265785791e-13,-0.402782891553492,1.08462328850991e-06,0.999169041287792,0.999999999237769
"2534","Necap2",2.23637542361407e-13,-0.402984479871671,1.08206973340136e-06,0.999170020037051,0.999999999237769
"2135","Tmtc2",2.23620890811644e-13,-0.402997215680789,1.08190860242999e-06,0.999170081835475,0.999999999237769
"1942","Ldhb",2.23476254956536e-13,-0.403107876729618,1.0805095187441e-06,0.999170618618419,0.999999999237769
"2254","Rgl2",2.23374230244618e-13,-0.403185976359239,1.07952316331682e-06,0.999170997259837,0.999999999237769
"2299","Hnrnpul1",2.22253091736117e-13,-0.404046415655582,1.06871387981408e-06,0.99917515810938,0.999999999237769
"1827","Zfp738",2.22105039492453e-13,-0.404160345353351,1.06729052245027e-06,0.999175707571474,0.999999999237769
"763","D3Ertd254e",2.21229817366423e-13,-0.404835308174871,1.05889561341559e-06,0.99917895575854,0.999999999237769
"1610","Mfap3",2.21167541119785e-13,-0.404883430408764,1.05829953858682e-06,0.999179186882609,0.999999999237769
"2026","Wee1",2.20351218223689e-13,-0.405515399090746,1.0505016510754e-06,0.999182216478646,0.999999999237769
"828","Tnik",2.19547385190552e-13,-0.406139847996105,1.04285124900832e-06,0.99918519972142,0.999999999237769
"551","Cep70",2.18662127175562e-13,-0.406830037125302,1.03445824373908e-06,0.999188485154437,0.999999999237769
"286","Mbd5",2.18618670910729e-13,-0.406863985134927,1.03404711424906e-06,0.999188646432443,0.999999999237769
"1761","Bmyc",2.18133361733095e-13,-0.407243539025397,1.02946127035672e-06,0.999190447546665,0.999999999237769
"76","Sox7",2.16955633898077e-13,-0.4081679278644,1.018374913185e-06,0.999194818414679,0.999999999237769
"287","Myl4",2.16947557884558e-13,-0.408174282893185,1.01829909808544e-06,0.99919484838696,0.999999999237769
"347","Lbh",2.16586258695917e-13,-0.408458817092509,1.01491022119002e-06,0.999196189266428,0.999999999237769
"750","Fscn1",2.15675017988124e-13,-0.409178429278445,1.00638814775703e-06,0.999199571128324,0.999999999237769
"635","Sp110",2.15039306086549e-13,-0.40968214537072,1.00046414182225e-06,0.999201930427954,0.999999999237769
"165","Adcy4",2.1344001024005e-13,-0.410955575337048,9.85638124632996e-07,0.999207865849502,0.999999999237769
"1109","Fkbp14",2.13247542311142e-13,-0.41110942968203,9.83861342516746e-07,0.999208580150298,0.999999999237769
"1210","Cyb561d1",2.12761118381533e-13,-0.411498846851627,9.79378028196883e-07,0.999210385401713,0.999999999237769
"1692","Mfsd7b",2.12691493518451e-13,-0.411554654841555,9.78737141324349e-07,0.999210643798504,0.999999999237769
"2745","Klhl13",2.11820890371038e-13,-0.412253939512553,9.70741074324007e-07,0.999213874843429,0.999999999237769
"463","Gm4832",2.10970226772509e-13,-0.412939817088363,9.6295982142275e-07,0.99921703188728,0.999999999237769
"1122","Sp140",2.1082576087824e-13,-0.413056555414927,9.6164146268467e-07,0.999217568039485,0.999999999237769
"2506","Xrn1",2.10338267967976e-13,-0.413451037565902,9.57199392633268e-07,0.999219377258198,0.999999999237769
"229","Ckap4",2.10087932852904e-13,-0.413653943587338,9.54922317428733e-07,0.999220306319864,0.999999999237769
