"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"regulation of macroautophagy (GO:0016241)","1/112",0.355238326784749,0.428978926999104,0,0,2.31788931788932,2.39893749734049,"EXOC4"
"transcription by RNA polymerase II (GO:0006366)","2/320",0.35552363128008,0.428978926999104,0,0,1.62231049321417,1.67773439279444,"THRA;PPARG"
"positive regulation of protein metabolic process (GO:0051247)","1/115",0.362795172766772,0.436850269888237,0,0,2.25655046707678,2.28795457827975,"INHBA"
"sphingolipid metabolic process (GO:0006665)","1/116",0.365294639232885,0.438053530414795,0,0,2.23681535855449,2.25258718896587,"ARV1"
"cytosolic transport (GO:0016482)","1/116",0.365294639232885,0.438053530414795,0,0,2.23681535855449,2.25258718896587,"AP4M1"
"cellular protein localization (GO:0034613)","2/329",0.368195586874783,0.440627505604249,0,0,1.57693545791083,1.57558086393298,"AP4M1;GAS8"
"negative regulation of response to external stimulus (GO:0032102)","1/118",0.370264571901432,0.441294918347829,0,0,2.1983571983572,2.18415024831703,"PPARG"
"regulation of protein binding (GO:0043393)","1/118",0.370264571901432,0.441294918347829,0,0,2.1983571983572,2.18415024831703,"GAS8"
"macroautophagy (GO:0016236)","1/120",0.375196083452174,0.446261736733339,0,0,2.16119174942704,2.11863032071434,"ULK3"
"positive regulation of cytokine production (GO:0001819)","2/335",0.376591933724238,0.447011563607633,0,0,1.54804804804805,1.51181301381769,"GLMN;POLR3F"
"epithelium development (GO:0060429)","1/122",0.380089467158463,0.450247969210026,0,0,2.12525491037888,2.05586239212732,"PPARG"
"fatty acid metabolic process (GO:0006631)","1/124",0.384945013941084,0.454157349780996,0,0,2.09048674902333,1.9956931587571,"PPARG"
"defense response to symbiont (GO:0140546)","1/124",0.384945013941084,0.454157349780996,0,0,2.09048674902333,1.9956931587571,"LYST"
"protein targeting (GO:0006605)","1/125",0.387358688848687,0.45425195640087,0,0,2.07352325094261,1.96653809910742,"AP4M1"
"cellular response to oxidative stress (GO:0034599)","1/125",0.387358688848687,0.45425195640087,0,0,2.07352325094261,1.96653809910742,"BRF2"
"regulation of protein secretion (GO:0050708)","1/125",0.387358688848687,0.45425195640087,0,0,2.07352325094261,1.96653809910742,"RHBDF1"
"plasma membrane bounded cell projection organization (GO:0120036)","1/128",0.394543749866777,0.461750601046489,0,0,2.02423560691277,1.88259021688338,"OPHN1"
"supramolecular fiber organization (GO:0097435)","2/351",0.398758816747256,0.463586293955235,0,0,1.4758709093651,1.35691352116611,"CRTAP;FIGNL2"
"regulation of response to external stimulus (GO:0032101)","1/130",0.399287510033362,0.463586293955235,0,0,1.99265076009262,1.8293999473811,"USP18"
"Golgi organization (GO:0007030)","1/130",0.399287510033362,0.463586293955235,0,0,1.99265076009262,1.8293999473811,"VAMP4"
"regulation of primary metabolic process (GO:0080090)","1/130",0.399287510033362,0.463586293955235,0,0,1.99265076009262,1.8293999473811,"PPARG"
"defense response to virus (GO:0051607)","1/133",0.406334435387908,0.47083196481456,0,0,1.94706808343172,1.75348809397185,"LYST"
"regulation of gene expression (GO:0010468)","5/1079",0.41289587084169,0.477487502121875,0,0,1.20201015280222,1.06324991628243,"GLMN;INHBA;SSBP2;MEGF8;PPARGC1B"
"regulation of cellular component organization (GO:0051128)","1/139",0.420184360075224,0.483999341782901,0,0,1.86184829663091,1.61433737054853,"OPHN1"
"positive regulation of response to external stimulus (GO:0032103)","1/139",0.420184360075224,0.483999341782901,0,0,1.86184829663091,1.61433737054853,"POLR3F"
"neuron projection morphogenesis (GO:0048812)","1/140",0.422461462580462,0.484710204610982,0,0,1.8483602728207,1.59265265848611,"EIF2AK4"
"protein localization to cell periphery (GO:1990778)","1/140",0.422461462580462,0.484710204610982,0,0,1.8483602728207,1.59265265848611,"AP4M1"
"regulation of small GTPase mediated signal transduction (GO:0051056)","1/141",0.424729736377092,0.484866771571391,0,0,1.83506493506494,1.57137019011573,"OPHN1"
"positive regulation of cellular catabolic process (GO:0031331)","1/141",0.424729736377092,0.484866771571391,0,0,1.83506493506494,1.57137019011573,"VGLL4"
"positive regulation of protein phosphorylation (GO:0001934)","2/371",0.425957671139236,0.484866771571391,0,0,1.39445157609471,1.19004631178343,"PDGFC;INHBA"
"chromatin organization (GO:0006325)","1/142",0.426989215356524,0.484866771571391,0,0,1.82195818366031,1.55048007907077,"KDM4C"
"protein localization to organelle (GO:0033365)","1/142",0.426989215356524,0.484866771571391,0,0,1.82195818366031,1.55048007907077,"IFT140"
"negative regulation of DNA-binding transcription factor activity (GO:0043433)","1/143",0.429239933052071,0.484866771571391,0,0,1.80903603438815,1.52997274618792,"EIF2AK4"
"neuron development (GO:0048666)","1/143",0.429239933052071,0.484866771571391,0,0,1.80903603438815,1.52997274618792,"OPHN1"
"monocarboxylic acid metabolic process (GO:0032787)","1/143",0.429239933052071,0.484866771571391,0,0,1.80903603438815,1.52997274618792,"PPARG"
"regulation of cytokine production (GO:0001817)","1/150",0.444752444465265,0.501419744339218,0,0,1.72343763618931,1.3963937262363,"GLMN"
"peptidyl-serine phosphorylation (GO:0018105)","1/156",0.457717080038892,0.515041955188272,0,0,1.65622119815668,1.29434351594504,"ULK3"
"mitotic spindle organization (GO:0007052)","1/157",0.45984860484921,0.516445356215266,0,0,1.64552114552115,1.27833620611082,"CCDC61"
"cellular response to starvation (GO:0009267)","1/158",0.461971858349295,0.517834098418404,0,0,1.63495739928861,1.26259798100105,"EIF2AK4"
"transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)","2/404",0.469421926067954,0.525177020735029,0,0,1.27782141921969,0.966356646972054,"PDGFC;GRB10"
"heart development (GO:0007507)","1/164",0.474539447716827,0.52887602569967,0,0,1.5742968687754,1.17349746183866,"MEGF8"
"double-strand break repair (GO:0006302)","1/164",0.474539447716827,0.52887602569967,0,0,1.5742968687754,1.17349746183866,"DCLRE1A"
"cellular protein-containing complex assembly (GO:0034622)","1/168",0.482756382525847,0.537009004562085,0,0,1.53627809316432,1.1187839772227,"VAMP4"
"peptidyl-serine modification (GO:0018209)","1/169",0.484790716498437,0.538246727062904,0,0,1.52705627705628,1.10564676287358,"ULK3"
